,5,10,20,50,100
CL99XTopt,0.496,0.47200000000000003,0.396,0.2888,0.21959999999999996
Flab8at,0.5159999999999999,0.486,0.426,0.332,0.2554
GE8ATDN2,0.548,0.512,0.42999999999999994,0.32,0.2492
INQ602,0.5359999999999999,0.4699999999999999,0.395,0.28400000000000003,0.2186
Mer8Adtd4,0.548,0.47600000000000003,0.42300000000000004,0.3156,0.24600000000000002
acsys8alo2,0.496,0.45,0.39099999999999996,0.29840000000000005,0.23240000000000002
apl8ctd,0.0,0.0,0.0,0.0,0.0
att99ate,0.768,0.6919999999999998,0.5720000000000001,0.39919999999999994,0.30339999999999995
fub99td,0.524,0.4739999999999999,0.41600000000000004,0.31720000000000004,0.2422
ibms99c,0.728,0.602,0.508,0.3644,0.2718
isa50t,0.54,0.48599999999999993,0.41900000000000004,0.3004,0.21220000000000003
mds08a2,0.7839999999999999,0.722,0.599,0.4479999999999999,0.3440000000000001
nttd8alx,0.46399999999999997,0.41600000000000004,0.359,0.2636,0.20279999999999998
orcl99man,0.524,0.47600000000000003,0.4200000000000001,0.31720000000000004,0.2498
plt8ah1,0.5760000000000001,0.51,0.44699999999999995,0.3516,0.2772
