Topic,INQ602,att99ate,plt8ah1,Mer8Adtd4,apl8ctd,orcl99man,CL99XTopt,nttd8alx,fub99td,isa50t,ibms99c,mds08a2,acsys8alo2,GE8ATDN2,Flab8at
401,0.0,0.3,0.0,0.1,0.0,0.4,0.0,0.0,0.6,0.1,1.0,0.9,0.0,0.8,0.2
402,0.8,0.7,0.4,0.7,0.0,0.6,0.5,0.5,0.8,0.7,0.6,0.8,0.8,0.8,0.6
403,0.9,0.4,1.0,1.0,0.0,0.9,1.0,0.9,1.0,0.7,1.0,0.9,1.0,1.0,0.9
404,0.4,0.6,0.5,0.4,0.0,0.2,0.5,0.0,0.4,0.3,0.4,0.6,0.4,0.5,0.2
405,0.4,0.6,0.5,0.4,0.0,0.3,0.5,0.4,0.2,0.6,0.6,0.6,0.6,0.5,0.5
406,0.5,0.6,0.6,0.4,0.0,0.5,0.5,0.3,0.4,0.6,0.4,0.4,0.6,0.3,0.5
407,0.7,0.9,0.9,1.0,0.0,0.9,0.8,0.5,0.2,0.8,0.6,0.7,0.8,0.9,0.9
408,0.6,0.7,0.4,0.5,0.0,0.2,0.4,0.4,0.2,0.3,0.7,0.9,0.3,0.3,0.3
409,0.3,0.5,0.3,0.3,0.0,0.1,0.4,0.2,0.4,0.1,0.4,0.6,0.3,0.4,0.2
410,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
411,0.2,0.8,0.6,0.7,0.0,0.6,0.5,0.4,0.5,0.5,0.8,0.3,0.3,0.7,0.5
412,0.3,0.9,0.6,0.5,0.0,0.9,0.3,0.1,0.8,0.9,1.0,0.8,0.1,1.0,0.9
413,0.9,0.9,0.6,0.5,0.0,0.1,0.9,0.5,0.5,0.2,0.6,0.8,0.2,0.8,0.4
414,0.5,0.5,0.4,0.4,0.0,0.4,0.2,0.3,0.3,0.3,0.9,0.7,0.3,0.4,0.5
415,0.9,1.0,1.0,1.0,0.0,1.0,0.9,0.9,1.0,0.9,0.8,1.0,1.0,0.9,1.0
416,0.3,0.9,0.5,0.4,0.0,0.3,0.3,0.5,0.4,0.5,0.4,0.8,0.2,0.5,0.3
417,0.8,1.0,0.8,0.4,0.0,0.0,0.0,0.1,0.6,0.9,0.0,0.5,0.5,0.8,0.6
418,0.6,1.0,0.7,0.8,0.0,0.8,0.6,0.9,0.7,0.6,0.7,0.7,0.7,0.6,0.6
419,0.5,0.6,0.6,0.3,0.0,0.1,0.2,0.3,0.1,0.1,0.3,0.4,0.3,0.3,0.1
420,0.9,0.6,0.9,0.7,0.0,0.9,0.7,0.6,0.8,0.7,0.4,0.7,0.9,0.5,0.9
421,0.0,0.3,0.4,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.5,0.3,0.2,0.1
422,0.7,0.9,1.0,0.1,0.0,0.5,0.9,0.5,0.6,0.8,0.6,0.9,0.0,0.7,0.9
423,0.9,0.8,0.6,0.9,0.0,0.9,0.9,0.9,0.9,0.7,0.9,0.8,0.9,0.7,0.9
424,0.3,1.0,0.6,0.5,0.0,0.4,0.6,0.1,0.4,0.7,0.9,0.8,0.3,0.6,0.4
425,0.9,1.0,1.0,0.9,0.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.8,0.7,1.0
426,0.1,1.0,0.5,0.6,0.0,0.0,0.1,0.2,0.5,0.3,0.9,0.9,0.2,0.2,0.4
427,0.6,0.8,0.3,0.4,0.0,0.4,0.5,0.5,0.4,0.4,0.9,0.9,0.5,0.5,0.4
428,0.1,0.9,0.2,0.3,0.0,0.2,0.6,0.3,0.4,0.2,0.7,0.8,0.5,0.4,0.4
429,0.3,0.7,0.1,0.3,0.0,0.3,0.3,0.4,0.5,0.3,0.4,1.0,0.1,0.5,0.2
430,0.3,0.5,0.3,0.4,0.0,0.3,0.3,0.3,0.5,0.3,0.5,0.5,0.3,0.4,0.4
431,0.6,0.9,0.8,1.0,0.0,0.9,0.5,0.9,0.7,0.9,0.8,0.7,0.7,0.5,1.0
432,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
433,0.1,0.1,0.0,0.1,0.0,0.2,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.1
434,0.8,1.0,1.0,0.6,0.0,0.6,0.7,0.9,0.9,0.7,0.8,1.0,0.3,0.9,0.7
435,0.4,0.9,0.4,0.2,0.0,0.6,0.5,0.3,0.0,0.3,0.4,0.7,0.6,0.4,0.2
436,0.4,0.8,0.0,0.3,0.0,0.8,0.5,0.2,0.4,0.6,1.0,1.0,0.5,0.5,0.5
437,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0
438,0.6,0.4,0.3,0.4,0.0,0.3,0.4,0.6,0.3,0.9,0.4,0.6,0.3,0.3,0.0
439,0.2,0.4,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.2,0.4,0.9,0.0,0.0,0.1
440,0.3,0.7,0.5,0.3,0.0,0.7,0.5,0.0,0.6,0.2,0.8,0.8,0.5,0.5,0.1
441,0.7,0.7,0.7,0.8,0.0,0.7,0.8,0.7,0.8,0.7,0.8,0.9,0.8,0.8,0.8
442,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,1.0,0.2,0.0,0.0
443,0.4,0.2,0.5,0.3,0.0,0.5,0.5,0.2,0.0,0.1,0.5,0.2,0.0,0.5,0.6
444,0.7,1.0,0.5,0.8,0.0,0.9,0.7,0.8,0.9,0.8,0.7,1.0,1.0,0.3,0.9
445,0.8,1.0,0.9,0.3,0.0,0.8,0.7,0.7,0.4,0.5,0.9,1.0,1.0,0.6,0.8
446,0.0,0.7,0.7,0.3,0.0,0.9,0.2,0.4,0.5,0.8,0.9,0.9,0.8,0.6,0.9
447,0.3,0.4,0.1,0.7,0.0,0.0,0.4,0.5,0.5,0.1,0.0,1.0,0.1,0.0,0.1
448,0.2,0.6,0.3,0.2,0.0,0.0,0.2,0.1,0.1,0.4,0.3,0.2,0.0,0.2,0.0
449,0.2,0.4,0.4,0.3,0.0,0.5,0.5,0.2,0.4,0.4,0.5,0.6,0.5,0.5,0.3
450,0.9,0.9,1.0,0.9,0.0,1.0,0.6,0.9,0.9,0.9,1.0,0.8,1.0,1.0,1.0
