Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
401,0.02,0.12,0.4,0.0,0.08,0.02,0.64,0.46,0.42,0.92,0.12,0.84,0.02,0.34,0.02
402,0.26,0.3,0.48,0.4,0.42,0.48,0.5,0.24,0.5,0.3,0.34,0.32,0.32,0.32,0.34
403,0.4,0.4,0.38,0.34,0.36,0.4,0.4,0.36,0.4,0.38,0.34,0.38,0.4,0.42,0.4
404,0.32,0.2,0.28,0.36,0.28,0.26,0.26,0.36,0.32,0.28,0.2,0.3,0.16,0.22,0.26
405,0.3,0.22,0.42,0.34,0.34,0.28,0.28,0.3,0.26,0.34,0.34,0.28,0.2,0.22,0.36
406,0.14,0.18,0.08,0.14,0.12,0.26,0.24,0.26,0.16,0.18,0.14,0.14,0.18,0.2,0.22
407,0.42,0.54,0.4,0.36,0.5,0.46,0.54,0.56,0.32,0.38,0.4,0.54,0.38,0.64,0.44
408,0.42,0.36,0.34,0.32,0.38,0.36,0.4,0.46,0.38,0.36,0.4,0.64,0.3,0.3,0.38
409,0.16,0.1,0.12,0.14,0.2,0.1,0.16,0.14,0.12,0.14,0.12,0.16,0.14,0.08,0.12
410,0.82,0.9,0.72,0.84,0.84,0.84,0.74,0.72,0.82,0.74,0.8,0.82,0.86,0.88,0.88
411,0.2,0.22,0.18,0.14,0.26,0.22,0.3,0.18,0.22,0.2,0.2,0.18,0.18,0.22,0.2
412,0.26,0.64,0.54,0.26,0.44,0.12,0.0,0.62,0.58,0.5,0.58,0.6,0.14,0.68,0.46
413,0.48,0.26,0.5,0.38,0.3,0.2,0.44,0.4,0.3,0.36,0.3,0.36,0.3,0.08,0.32
414,0.22,0.28,0.32,0.26,0.3,0.16,0.22,0.22,0.18,0.5,0.14,0.46,0.24,0.22,0.28
415,0.8,0.78,0.84,0.82,0.76,0.8,0.82,0.66,0.68,0.94,0.88,0.62,0.66,0.84,0.94
416,0.36,0.38,0.36,0.38,0.4,0.38,0.36,0.44,0.38,0.32,0.34,0.34,0.36,0.38,0.38
417,0.02,0.22,0.46,0.46,0.36,0.36,0.24,0.54,0.46,0.14,0.5,0.2,0.12,0.02,0.56
418,0.38,0.34,0.42,0.24,0.3,0.4,0.36,0.52,0.44,0.32,0.18,0.74,0.34,0.52,0.46
419,0.08,0.06,0.08,0.16,0.16,0.1,0.16,0.3,0.14,0.18,0.06,0.16,0.1,0.06,0.18
420,0.26,0.32,0.24,0.28,0.3,0.38,0.34,0.36,0.26,0.28,0.3,0.32,0.28,0.32,0.34
421,0.16,0.1,0.06,0.1,0.06,0.2,0.0,0.16,0.02,0.16,0.08,0.32,0.04,0.12,0.12
422,0.86,0.8,0.42,0.64,0.4,0.12,0.54,0.6,0.54,0.3,0.6,0.84,0.26,0.32,0.78
423,0.24,0.28,0.2,0.32,0.34,0.3,0.32,0.36,0.26,0.24,0.22,0.42,0.32,0.26,0.2
424,0.44,0.26,0.56,0.22,0.48,0.42,0.56,0.54,0.48,0.56,0.3,0.46,0.12,0.14,0.56
425,0.6,0.86,0.5,0.72,0.7,0.58,0.56,0.72,0.66,0.84,0.68,0.8,0.68,0.76,0.78
426,0.04,0.32,0.28,0.04,0.38,0.1,0.28,0.86,0.48,0.76,0.22,0.88,0.16,0.06,0.36
427,0.26,0.26,0.24,0.28,0.26,0.34,0.38,0.36,0.3,0.38,0.3,0.46,0.24,0.22,0.16
428,0.46,0.46,0.3,0.3,0.3,0.48,0.46,0.5,0.38,0.42,0.38,0.64,0.3,0.4,0.38
